品目,産地,年,月,数量_kg,金額_円
すずき,合計,2023,12,1820,1080518
すずき,広島,2023,1,1128,584908
すずき,広島,2023,2,687,387609
すずき,広島,2023,3,1033,677175
すずき,広島,2023,4,1679,1075117
すずき,広島,2023,5,823,563676
すずき,広島,2023,6,908,687365
すずき,広島,2023,7,1620,1069146
すずき,広島,2023,8,711,538367
すずき,広島,2023,9,1041,785501
すずき,広島,2023,10,760,533817
すずき,広島,2023,11,767,511866
すずき,広島,2023,12,1820,1080518
すずき,愛媛,2023,1,1,356
すずき,愛媛,2023,4,11,6264
ぐち,合計,2023,1,80,55894
ぐち,合計,2023,2,54,93286
ぐち,合計,2023,3,67,222322
ぐち,合計,2023,4,41,110878
ぐち,合計,2023,5,42,133372
ぐち,合計,2023,6,51,136550
ぐち,合計,2023,7,82,22417
ぐち,合計,2023,8,26,37184
ぐち,合計,2023,9,46,40871
ぐち,合計,2023,10,48,18639
ぐち,合計,2023,11,23,47576
ぐち,合計,2023,12,6,9909
ぐち,広島,2023,1,80,55894
ぐち,広島,2023,2,54,93286
ぐち,広島,2023,3,67,222322
ぐち,広島,2023,4,41,110878
ぐち,広島,2023,5,42,133372
ぐち,広島,2023,6,51,136550
ぐち,広島,2023,7,82,22417
ぐち,広島,2023,8,26,37184
ぐち,広島,2023,9,46,40871
ぐち,広島,2023,10,48,18639
ぐち,広島,2023,11,23,47576
ぐち,広島,2023,12,6,9909
はぎ,合計,2023,1,829,918688
はぎ,合計,2023,2,722,730320
はぎ,合計,2023,3,1157,1159662
はぎ,合計,2023,4,2902,3033697
はぎ,合計,2023,5,5260,4366073
はぎ,合計,2023,6,2868,2604594
はぎ,合計,2023,7,1133,1052618
はぎ,合計,2023,8,549,565927
はぎ,合計,2023,9,1533,1970186
はぎ,合計,2023,10,2416,3862565
はぎ,合計,2023,11,2406,3953545
はぎ,合計,2023,12,1899,2827858
はぎ,広島,2023,1,829,918688
はぎ,広島,2023,2,713,719833
はぎ,広島,2023,3,1154,1155591
はぎ,広島,2023,4,2902,3033697
はぎ,広島,2023,5,5252,4349824
はぎ,広島,2023,6,2868,2604594
はぎ,広島,2023,7,1133,1052618
はぎ,広島,2023,8,549,565927
はぎ,広島,2023,9,1533,1970186
はぎ,広島,2023,10,2416,3862565
はぎ,広島,2023,11,2406,3953545
はぎ,広島,2023,12,1899,2827858
はぎ,愛媛,2023,2,9,10487
はぎ,愛媛,2023,3,3,4071
はぎ,愛媛,2023,5,9,16249
かれい,合計,2023,1,3815,3844815
かれい,合計,2023,2,5219,4721425
かれい,合計,2023,3,5364,5310371
かれい,合計,2023,4,3429,3931736
かれい,合計,2023,5,1198,1813972
かれい,合計,2023,6,1212,1819123
かれい,合計,2023,7,1187,1659179
かれい,合計,2023,8,610,809467
かれい,合計,2023,9,579,841656
かれい,合計,2023,10,706,869139
かれい,合計,2023,11,443,598783
かれい,合計,2023,12,2013,2039599
かれい,広島,2023,1,3815,3844815
かれい,広島,2023,2,5219,4721425
かれい,広島,2023,3,5364,5310371
かれい,広島,2023,4,3428,3931045
かれい,広島,2023,5,1198,1813972
かれい,広島,2023,6,1212,1819123
かれい,広島,2023,7,1187,1659179
かれい,広島,2023,8,610,809467
かれい,広島,2023,9,579,841656
かれい,広島,2023,10,706,869139
かれい,広島,2023,11,443,598783
かれい,広島,2023,12,2013,2039599
かれい,山口,2023,4,1,691
ひらめ,合計,2023,1,1282,2843922
ひらめ,合計,2023,2,1113,2520461
ひらめ,合計,2023,3,1551,3399996
ひらめ,合計,2023,4,1558,3110653
ひらめ,合計,2023,5,1818,3454175
ひらめ,合計,2023,6,1242,2649609
ひらめ,合計,2023,7,1233,2712187
ひらめ,合計,2023,8,1269,2904567
